,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Bare Honey & Co. Food Manufacturing,Minneapolis,MN,https://barehoney.com/,,info@barehoney.com,Own-brand honey and honey spreads; beeswax personal care,"Live barehoney.com is a D2C Minnesota honey shop (635 9th St SE Suite 160). Contact lists info@barehoney.com for general inquiries and sales@barehoney.com for orders. Shop pages retrieved this check do not describe third-party co-pack, jam, sauce, or mixer manufacturing. MDA co-packer directory, LinkedIn, and National Honey Board locator claim private-label/co-pack and organic/kosher/SQF; those claims are not on the origin shop. Seed 612-315-3952 unused. Gift-box product page lists 612-716-7073 for bulk gift orders, not used as a copack phone.",Retail jars (sizes on shop); honey sticks and gift sets,,,brand with co-pack mention,https://barehoney.com/; https://barehoney.com/pages/contact-us; https://barehoney.com/pages/products; https://www.mda.state.mn.us/minnesota-co-packer-directory; https://honey.com/honey-locator/profile/bare-honey,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_not_on_origin; mda_linkedin_honeyboard_only; seed_phone_unused; no_published_numeric_moq,Do not import as a confirmed copacker until a company page states co-pack or private-label manufacturing. Live brand is real. MDA 200-gallon MOQ unused.,Bare Honey,bare honey & co. food manufacturing|minneapolis|MN
1,Better Bev Co (Buch Fermentary and Taproom),Minneapolis,MN,,,,THC seltzers and kombucha (historical taproom brand),"BÜCH Fermentary and Taproom at 1121 Quincy St NE closed. LinkedIn post dated 2025-07-17 called it the last day; Grafe Auction listed a September 2025 liquidation of the JVNW 40-barrel brewhouse. buchbev.com returned 421 this check. Untappd and HappyCow mark the brewery closed. Not a live copacker. Distinct from Batch 08 Better Beverage Company (Humm) in Bend, OR.",,,,unknown,https://www.mda.state.mn.us/minnesota-co-packer-directory; https://www.linkedin.com/posts/patrick-t-walsh_today-im-reminded-that-all-good-things-must-activity-7351663981876428801-lonL; https://www.auctionhq.com/Auctions/buch-fermentary-taproom-minneapolis-mn/; https://untappd.com/BUCHHardKombuchaSeltzer,2026-08-26 00:00:00,EXCLUDE,5,closed_2025; taproom_brand; do_not_revive; not_better_beverage_company_bend; seed_phone_unused; seed_email_unused,Dead taproom brand. Do not import. Not the Bend Humm Better Beverage Company row.,Better Bev Co (Buch Fermentary),better bev co (buch fermentary and taproom)|minneapolis|MN
2,Coffeewomple,Minneapolis,MN,https://www.coffeewomple.com/,,,Whole-bean and ground coffee (own brand); custom blends mentioned,"Live coffeewomple.com is a Northeast Minneapolis electric-roast coffee brand. Contact page asks about wholesale or a custom blend. No dedicated co-pack page, plant address, MOQ, or certs on retrieved pages. MDA directory lists ~16 lb custom-batch minimum and nicole@coffewomple.com; those are unused because they are not on the origin.",Retail bags/tubes on shop (compostable paper tube stated on one SKU),,,brand with co-pack mention,https://www.coffeewomple.com/; https://www.coffeewomple.com/contact; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,NEEDS_REVIEW,3,coffee_brand; custom_blend_mention_only; seed_phone_unused; seed_email_unused; no_published_numeric_moq,Thin. Custom-blend language is not the same as third-party recipe copack. Hold until they publish a manufacturing page.,Coffeewomple,coffeewomple|minneapolis|MN
3,Crested River,Morgan,MN,https://criver.cc/,507-249-2004,,"Hemp-derived CBD/CBG/THC topicals, tinctures, edibles, and cannabis beverages","Live criver.cc is Crested River Cannabis Company. About page states they manufacture hemp wellness products for their own brands and for other independent companies, plus a cannabis-dedicated beverage canning line in Morgan (79 Vernon Ave). Food/bev conventional directory exclude, same pattern as cannabis kitchens in earlier batches. Seed 507-430-8351 unused; store locator phone is 507-249-2004.","Cans, kegs, glass, jars, mylar claimed on MDA; retail cannabis formats on origin",,,private-label producer,https://criver.cc/; https://criver.cc/pages/about; https://criver.cc/pages/store-locator; https://criver.cc/blogs/blog/crested-river-expands-its-manufacturing-capabilities-beverage-canning-line; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,EXCLUDE,5,cannabis; hemp_thc; food_bev_exclude; seed_phone_unused; seed_email_unused,"Real manufacturer, wrong category. Do not import into food/bev copack.",Crested River Cannabis Company,crested river|morgan|MN
4,European Roasterie Inc.,Le Center,MN,https://euroroast.com/,507-357-2272,,Roasted specialty coffee; flavored coffee; organic and fair-trade coffees; custom roast and custom labeling,"Live euroroast.com confirms a family-run 50000 sq ft roasterie in Le Center producing more than 3.5 million lb per year in 25 to 500 lb batches. Custom Labeling page offers private-label coffee for fundraisers and event favors, plus custom roast on home/contact. This is private-label roasting of their coffee, not a kettle copacker. Phone on site is 507-357-2272; seed 507-357-3008 unused. Staging leftover heather@ email unused. MDA 50 lb/SKU MOQ unused.",Portion packs with gold or silver film; affixed labels; retail bags,,Kosher (claimed on home); certified organic and fair trade coffees (claimed on home),private-label producer,https://euroroast.com/; https://euroroast.com/custom-labeling/; https://euroroast.com/contact/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,coffee_private_label; fundraiser_labeling; seed_phone_unused; no_published_numeric_moq; not_sauce_copack,"Publishable as a coffee private-label roaster. 25-500 lb figures are roast batch sizes, not order MOQs.",European Roasterie,european roasterie inc.|le center|MN
5,Food Service Specialties,Red Wing,MN,https://foodservicespecialties.com/,800-657-0811,customerservice@foodservicespecialties.com,Custom tomato-based and dairy-based sauces and dips; cheese sauce; specialty sauces,"Live foodservicespecialties.com confirms family-owned custom sauce manufacturing since 1985 for restaurants, frozen-food makers, and retail. Plant moved from Columbus WI to Red Wing in 1998; about page describes a 45000 sq ft plant later expanded by 34000 sq ft. Contact: 5202 Moundview Drive, Red Wing; 800-657-0811 and 651-388-5568. Seed JordanP@ unused; site email is customerservice@. MDA ~1000 gallon MOQ unused.",5-10 lb pouches with or without fitment; 14/24 oz 63 mm glass; 16/24 oz 82 mm glass; PET jars; 2700 lb (315 gallon) totes,,,co-manufacturer,https://foodservicespecialties.com/; https://foodservicespecialties.com/about-us/; https://foodservicespecialties.com/products/; https://foodservicespecialties.com/packaging/; https://foodservicespecialties.com/industries/; https://foodservicespecialties.com/contact-us/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,foodservice_scale; dairy_and_tomato_sauces; no_published_numeric_moq; seed_email_unused,Real custom-sauce co-man. Steep for a first 50-gallon jar run; pouch/tote foodservice is the core.,Food Service Specialties,food service specialties|red wing|MN
6,Karlsburger Foods Inc.,Monticello,MN,https://www.karlsburger.com/,763-295-2273,,Soup bases; stocks and broths; soups and sauces; gravies; seasonings and spice blends; private label and co-pack of those savory items,"Live karlsburger.com Custom Solutions and Capabilities pages state they co-pack, private label, or develop signature bases, stocks, gravies, sauces, and blends, including smaller test-market runs. Contact: 3236 Chelsea Road West, Monticello; 763-295-BASE (2273) and 800-383-6549. Seed MatthewM@ unused. MDA 150 lb dry / 300 lb base floors unused.",Squeeze bottles; bottling lines; vacuum-packed resealable lids; 4 oz packets through 2000 lb totes; pumpable totes,,"SQF Level 2 (claimed on Corporate Responsibility); USDA inspected, certified organic, certified halal, HACCP (claimed on product spec PDFs)",co-manufacturer,https://www.karlsburger.com/; https://www.karlsburger.com/custom-solutions/; https://www.karlsburger.com/about/capabilities/; https://www.karlsburger.com/about/corporate-responsibility/; https://www.karlsburger.com/contact/; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,5,sqf_claimed; savory_bases; no_published_numeric_moq; seed_email_unused,"Confirmed co-pack/private label on origin. Good for bases and dry blends, not a first-jar salsa plant.",Karlsburger Foods,karlsburger foods inc.|monticello|MN
7,Krienke Foods International Inc.,Mountain Lake,MN,,,,Crunchy corn and legume snacks; fried pasta snacks; roasted legumes; trail mixes (directory claims),"No live official site this check. popdkerns.com returns a 114-byte redirect to /lander (parked). MDA directory and a 2026 trade-show listing still describe an SQF Costco-approved contract snack plant at 1716 Stuart Ave, Mountain Lake, and Caleb Krienke announced a June 2026 Dollar Tree relaunch of Pop'd Kerns. Directory-only is not enough for VERIFIED. Seed phone/email unused.",,,,unknown,https://www.mda.state.mn.us/minnesota-co-packer-directory; http://www.popdkerns.com/; https://naneighborssweetssnacks.usa-pavilions.com/exhibitor/8774f8ed-ef38-4563-883b-d01a8de16ba7,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_live_origin; popdkerns_parked; mda_directory_only; seed_phone_unused; seed_email_unused,"Likely still operating as a snack plant, but no origin to confirm copack. Hold.",Krienke Foods International,krienke foods international inc.|mountain lake|MN
8,Maud Borup,Le Center,MN,https://maudborup.com/,866-678-6283,,"Seasonal and everyday sweets, snacks, and food gifts; branded, private-label, and licensed assortments including sauces, drink mixes, and baking kits","Live maudborup.com What We Do page states branded, private label, and licensed assortments for retailers. Contact lists corporate office 3650 Annapolis Ln N Suite 101 Plymouth, chocolate plant 435 W Industrial St Le Center, Plymouth cotton-candy site, and Delafield WI soft-candy plant. Phone 866-678-6283 on contact. Seed randy@ unused. MDA 4000-unit MOQ and component co-pack copy unused.","Bags and rigid/specialty containers (stated on MDA, not itemized on retrieved origin pages)",,Women-owned; veteran-owned; fair-trade certified chocolate (home); Certified B Corp (company blog),private-label producer,https://maudborup.com/; https://maudborup.com/what-we-do; https://maudborup.com/contact-us; https://maudborup.com/blog/b-corp-certification; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,VERIFIED,4,retailer_private_label; also_plymouth_delafield; seed_email_unused; no_published_numeric_moq; b_corp_claimed,"Private label for retail partners is on origin. Third-party recipe copack is MDA-only. Seed city Le Center is the chocolate plant, not HQ.",Maud Borup,maud borup|le center|MN
9,Mile Marker,Inver Grove Heights,MN,https://www.milemarker.info/,612-229-8593,,Beverage packaging consulting; private-label bitters; Dashfire brand bitters/RTDs,"Live milemarker.info describes packaging design, flavor design, and 'CO-PACK: Leveraging Co-Packers' to identify production partners. Private-label bitters copy cites a 1000-unit-per-flavor minimum. Related Dashfire brand (dashfire.us) is Lee Egbert's bitters/RTD company; a 2023 magazine clip says Dashfire also offers co-packing, but Mile Marker origin is a finder/consultant. Not a listed plant copacker for first-run founders.",100 ml and 200 ml cans; 50 ml to 1.75 L glass (claimed on site/MDA),"1000 units per flavor (private-label bitters, stated on milemarker.info)",,broker/finder,https://www.milemarker.info/; https://www.dashfire.us/home; https://www.dashfire.us/post/ready-to-can; https://www.mda.state.mn.us/minnesota-co-packer-directory,2026-08-26 00:00:00,EXCLUDE,5,broker_finder; dashfire_related; not_a_plant_copacker; seed_email_unused,Exclude as a copacker finder. Do not merge with an unknown Dashfire plant without a manufacturing page.,Mile Marker,mile marker|inver grove heights|MN
