,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,The Osso Good Co.,Fresno,CA,https://www.ossogoodbones.com/,,,,Seed URL now serves an unrelated gambling/slot site (pragmaticplaygratis.com). Do not treat as a live co-pack kitchen. Historical PickYourOwn listed a USDA/BRC/CCOF Fresno kitchen; that is not confirmed live. Do not revive.,,,,unknown,https://www.ossogoodbones.com/; https://www.pickyourown.org/copackers-California.php,2026-08-26 00:00:00,EXCLUDE,5,domain_hijacked; do_not_revive; seed_email_unused; seed_certs_unused,ossogoodbones.com hijacked to gambling. Seed hello@ossogoodbones.com unused. PickYourOwn commercial-kitchen copy unused. Exclude; do not import or revive a dead/hijacked plant.,The Osso Good Co.,the osso good co.|fresno|CA
1,"Triple H Food Processors, LLC",Riverside,CA,https://triplehfoods.com/,951-352-5700,sales@triplehfoods.com,"BBQ sauce, marinades, jams, salsas, beverages, toppings, and related bottled foods","Custom co-packing and private label since 1976. Multiple lines. R&D. Startup copy and low MOQs claimed with no number. 1,000+ active SKUs claimed. Curl/bot wall; WebFetch retrieved homepage and contact.",Glass and plastic bottles from 2 fl oz to drums and bulk totes,,"Homepage displays QAI, KSA, BRCGS, and FDA logos",co-packer,https://triplehfoods.com/; https://triplehfoods.com/contact/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,4,first_run_copy; unpublished_moq; curl_bot_wall_webfetch_ok,"Official co-pack/private-label site. 5821 Wilderness Ave, Riverside; (951) 352-5700; sales@ and info@triplehfoods.com. Sauce/jam/salsa/beverage bottling. Low MOQs unpublished. First-run possible if they honor startup copy. Certs taken from displayed logos only.","Triple H Food Processors, LLC",triple h food processors|riverside|CA
2,Skyway Foods,Longmont,CO,https://skywayfood.com/,,,,"Owns/operates three adjacent buildings, 110,000+ sq ft, as dedicated food manufacturing suites for tenant companies (independent operations). Shared docks, utilities, wash-down, pest control. 15,000+ sq ft frozen/refrigerated storage. Not a recipe co-packer. Seed gluten-free baking unused.",,"Warehouse/cold storage listed from 4 pallets (space rental, not copack MOQ)",,shared kitchen/incubator,https://skywayfood.com/; https://skywayfood.com/facilities; https://skywayfood.com/contact,2026-08-26 00:00:00,VERIFIED,5,shared_kitchen; space_rental_not_copack; seed_email_unused; seed_certs_unused,"Official site is a food-production campus for rent at 1689 Skyway Dr., Longmont. Tenants run their own production. Flag shared_kitchen; do not auto-exclude. No public phone or email (form only); jeggers@skywayfood.com unused. List as incubator/space, not a co-packer.",Skyway Foods,skyway foods|longmont|CO
3,Pulp Kitchen,Unknown,VT,https://pkjuice.com/,,,"Own-brand organic cold-pressed juices; co-pack/private label listed for cold-pressed juice, juice blends, protein smoothies, plant proteins, nut mylks, cold brew, lemonades, iced teas, vegetable dips and dressings; sister-company note for CBD foods, kale chips, dehydrated vegetables, jams, sauces, snacks","Vermont-based certified-organic cold-pressed company that also claims co-pack/private label. Processes named: HPP, hot fill, flash pasteurized. Also claims contract co-pack capacity nearer NYC metro and Connecticut. New clients via sister company Creative Culinary Solutions. SQF-3 mentioned only for specific clients, not used as a plant cert here. Seed city/state was a scrape of that CT sentence.",,,Certified organic claimed for own juices,co-packer,https://pkjuice.com/; https://pkjuice.com/contact-us/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-26 00:00:00,VERIFIED,3,seed_city_was_ct_scrape; no_public_address_or_phone; cbd_adjacent_sister_offer; possible_tripaka_copy_overlap; seed_phone_unused,"Official homepage states Vermont-based organic juice co-pack/private label (HPP/hot-fill/flash pasteurize). No plant city, phone, or email on pages retrieved. Seed 203-927-8158 unused. Copy overlaps Tripaka directories; keep separate. CBD/dehydrated work is described as another company. First-run possible but contact path is thin; confirm a live plant before a founder commits.",Pulp Kitchen,pulp kitchen|unknown|VT
4,"House-Autry Mills, Inc.",Four Oaks,NC,https://www.house-autry.com/,919-963-6200,,"Dry mixes, breadings, batters, seasonings; 300+ foodservice dry mixes; private-label flavor systems","Private-label blending, branding, and packaging plus large-scale manufacturing. Dual-site manufacturing in North Carolina and Georgia (Four Oaks NC and Hogansville GA on about/capabilities pages). R&D/culinary. Seed Edgewater FL / 386-428-5833 is the former Captain Foods site from a 2019 acquisition; FL plant is not listed on live manufacturing pages.","Bulk 2 lb, 5 lb, and 25 lb bags; portion-controlled pouches in 2-6 lb cartons",,SQF-certified facilities (foodservice capabilities page),private-label producer,https://www.house-autry.com/; https://www.house-autry.com/pages/private-label; https://www.house-autry.com/private-label/; https://www.house-autry.com/food-service-capabilities/; https://www.house-autry.com/about/; https://www.house-autry.com/contact-us/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,5,seed_trap_brand_vs_mfg_is_mfg; city_corrected_four_oaks_NC; seed_city_was_edgewater_FL; seed_phone_unused; not_first_run_dry_mix_scale,"Official private-label/custom-blend manufacturing confirmed (not brand-only). Contact 7000 U.S. Hwy 301 S, Four Oaks, NC 27524, (919) 963-6200. Email obfuscated unused. Seed Edgewater FL phone unused. Dry-mix/breading/seasoning private label for operators and retailers, not a sauce kitchen for first SKUs. 7-10 day turnaround claimed; no numeric MOQ.","House-Autry Mills, Inc.",house-autry mills|four oaks|NC
5,"Refresco Beverages US, Inc. (Dade City plant)",Dade City,FL,https://www.refresco.com/en/,,,"Industrial contract-bottled beverages (water, juices, teas, energy drinks historically at this site)","Refresco is a global independent beverage contract manufacturer. This seed row is the Dade City FL plant (former Southeast Bottling, acquired 2021). Tampa Bay Business Journal 2024-06-10 and FL WARN: operations ceased with 42 layoffs effective 2024-08-02. Do not revive. Other Refresco NA plants are out of scope for this row.",,,,co-packer,https://www.refresco.com/en/; https://www.refresco-na.com/na/; https://www.bizjournals.com/tampabay/news/2024/06/10/refresco-pasco-county-beverage-plant-to-close.html; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,EXCLUDE,5,plant_closed_2024; within_batch_dupe_southeast_bottling; industrial_not_first_run; seed_phone_unused; seed_certs_unused; do_not_revive,"Seed trap: large industrial beverage co-packer, and this specific Dade City plant closed August 2024 after Refresco bought Southeast Bottling in 2021. Same phone 352-567-2200 as the Southeast Bottling row. Official group sites are JS-heavy; plant closure is from WARN/news. Do not import Dade City. Do not substitute another Refresco plant from this seed.",Refresco Beverages US (former Southeast Bottling Dade City),refresco dade city (southeast bottling)|dade city|FL
6,Southeast Bottling & Beverage (Refresco Dade City),Dade City,FL,https://southeast-bottling.com/,,,"Historical beverage co-pack (hot-fill/cold-fill bottling) at 15340 Citrus Country Dr, Dade City",Same plant as Refresco Dade City. Acquired by Refresco 2021; WARN closure August 2024. southeast-bottling.com TLS EOF then HTTP 502; southeast-bottling.net bot wall; tampabaycopack.com DNS fail. Do not revive.,,,,co-packer,https://southeast-bottling.com/; https://southeast-bottling.net/; https://www.bizjournals.com/tampabay/news/2024/06/10/refresco-pasco-county-beverage-plant-to-close.html; https://www.pickyourown.org/copackers-Delaware.php,2026-08-26 00:00:00,EXCLUDE,5,plant_closed_2024; within_batch_dupe_refresco_dade_city; website_unreachable; seed_phone_unused; seed_certs_unused; do_not_revive,Within-batch duplicate of the Refresco Dade City row (same address and historical 352-567-2200). Seed listed as serving Delaware etc. on PickYourOwn. Plant closed. Keep one excluded master key with Refresco Dade City.,Refresco Beverages US (former Southeast Bottling Dade City),refresco dade city (southeast bottling)|dade city|FL
7,The Sauceology Group,Clearwater,FL,https://thesauceologygroup.com/,,,"Sauces, spice blends, rubs, salsas, dressings, marinades (UF/IFAS directory only)",Live thesauceologygroup.com is an unrelated Japanese dating-blog (NOT FOUND / matching-app content). Curl bot wall on HTTPS. No independent official co-pack page retrieved. Directory-only. Do not invent a plant from the UF list.,,,,unknown,https://thesauceologygroup.com/; https://www.thesauceologygroup.com/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,NEEDS_REVIEW,1,domain_hijacked_or_repurposed; directory_only; seed_phone_unused,Seed URL now a Japanese dating blog. Seed 727-389-3774 unused. UF/IFAS sauce co-pack listing unused. Hold until a live official site exists. Florida corp filings were not used as a co-pack offer.,The Sauceology Group,the sauceology group|clearwater|FL
8,Coastal Packaging,Newnan,GA,https://www.coastalpackaging.com/,678-854-2117,,Beverages and food-grade products for private label/retail/foodservice (tea/coffee/juice/energy drinks in seed; site says beverages and organic/natural products under Fresh Bru). Also food-grade mineral oil (Coastal Prime) and hand sanitizer.,"Contract filling, custom blending, co-packing, private label, beverage development. Filling lines for plastic bottles 4 oz to 2.5 gal, plus 5 gal, 55 gal, 275 gal totes. Bag-in-box hot and cold fill. Seed trap secondary packaging: live pages describe primary beverage fill, not cartoning-only. Certifications page HTTP 500.",Plastic bottles 4 oz to 2.5 gallons; 5 gallon; 55 gallon; 275 gallon totes; bag-in-box; labels and sleeves,,USDA Organic; Kosher-Pareve; vegan; gluten and allergen free; FDA; USDA; HACCP; ISO Quality System (claimed on co-packing page),co-packer,https://www.coastalpackaging.com/; https://www.coastalpackaging.com/co-packing/; https://www.coastalpackaging.com/contact-us/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,4,seed_trap_secondary_packaging_is_primary_fill; also_sanitizer_and_mineral_oil; unpublished_moq,"Official co-pack page is beverage/food-grade contract filling at 10 Fresh Bru Drive, Newnan, 678-854-2117. Not secondary-only. Also packs sanitizer and mineral oil. Small-to-large-run copy with no number. First-run possible for ambient beverage fill if they honor small-run claims.",Coastal Packaging,coastal packaging|newnan|GA
9,Country Ranch Foods,Marietta,GA,https://countryranchfoods.com/,770-792-9000,,"Foodservice and institutional foods (homepage examples: chilis, Chicken Mojo). Co-pack/private label of customer recipes in a USDA and/or FDA-inspected facility (how-it-works page).","Co-packing and private label with smaller minimums than mega plants (no number). Test-batch process, NDA, costing, distribution help. Who-we-are/what-we-do pretty URLs 404; homepage and how-it-works/contact live. Contact Ed Vanderslice at the published phone.",Package type/size asked at intake; formats not enumerated on live pages,,,co-packer,https://countryranchfoods.com/; https://countryranchfoods.com/private-label-custom-pack/; https://countryranchfoods.com/contact-us/; https://edis.ifas.ufl.edu/publication/FS380,2026-08-26 00:00:00,VERIFIED,4,first_run_copy; unpublished_moq; seed_product_list_not_fully_on_site,"Official co-pack/private-label foodservice plant. 1460 Field Park Circle, Marietta, GA 30066, 770-792-9000. Seed kettle/sausage list not fully repeated on live pages; unused as inventory. Smaller-minimums copy with no number. Reasonable foodservice founder path if they accept startups (question asked at intake).",Country Ranch Foods,country ranch foods|marietta|GA
10,Harvest Food Group,East Chicago,IN,https://www.harvestfoodgroup.com/,773-847-3313,,"Frozen and refrigerated meals, sides, bowls, smoothie blends, IQF components, vegetable/grain blends, skillet meals","Frozen/refrigerated co-manufacturing and private label. VFFS/HFFS, bowl/cup/tray lines, enrobing, seasoning, blending, bag-in-box, pouching, nitrogen flush, case packing. New high-care campus described as open. Seed /index.php/co-packing 404; live /co-manufacturing/ and /private-label/. HQ 1600 Pebblewood Lane, Naperville, IL (630-821-4000). Seed city Chicago was the plant phone, not HQ.",Bags; bowls; cups; trays and family-size kits; bag-in-box; pouches,,SQF (co-manufacturing page),co-manufacturer,https://www.harvestfoodgroup.com/; https://www.harvestfoodgroup.com/co-manufacturing/; https://www.harvestfoodgroup.com/private-label/; https://www.harvestfoodgroup.com/contact; https://www.pickyourown.org/copackers-Illinois.php,2026-08-26 00:00:00,VERIFIED,5,city_corrected_east_chicago_IN; seed_city_was_chicago_IL; curl_403_webfetch_ok; industrial_frozen_scale; seed_certs_usda_unused,"Official frozen co-man/private-label site. Manufacturing 300 W. 151st Street, East Chicago, IN 46312, 773-847-3313 (seed phone). HQ Naperville. Curl 403; WebFetch OK. SQF claimed; seed USDA unused (not on pages retrieved). Not a first-jar sauce kitchen; fit for frozen bowl/bag brands that can clear unpublished floors.",Harvest Food Group,harvest food group|east chicago|IN
11,"Big B Distributors, Inc. (Farm Boy / CRS OneSource)",Evansville,IN,https://bigbbarbecue.com/,,,,Seed URL HTTP 301 to https://crsonesource.com/web/ (TLS then failed). Local reporting: Farm Boy merged with CRS OneSource; Big B BBQ production at the Evansville facility stopped (2023 coverage). PickYourOwn co-pack listing unused. Do not revive a closed sauce line as a live co-packer.,,,,unknown,https://bigbbarbecue.com/; http://bigbbarbecue.com/; https://crsonesource.com/web/; https://www.pickyourown.org/copackers-Indiana.php,2026-08-26 00:00:00,EXCLUDE,5,domain_redirect_crs; production_stopped; do_not_revive; seed_phone_unused,bigbbarbecue.com redirects toward CRS OneSource. Seed 812-425-5235 unused. Evansville sauce/pork co-pack is not confirmed live. Exclude; do not import as a founder co-packer.,"Big B Distributors, Inc. (Farm Boy / CRS OneSource)",big b distributors|evansville|IN
12,Hans Kissle,Haverhill,MA,https://www.hanskissle.com/,978-556-4500,,"Refrigerated deli salads and prepared foods (own brands plus customizable recipes/packaging for retail, c-store, and foodservice)","112,000 sq ft Haverhill plant. Fresh-to-order salads and prepared dishes. About page: customizable recipes and packaging. Culinary page: certified chefs create custom recipes. This is private-label of their refrigerated category, not a general sauce/snack co-packer.",Retail and bulk foodservice packs (sizes not fully enumerated),,SQF; FSMA-ready; USDA on-site; HACCP programs (quality page),private-label producer,https://www.hanskissle.com/; https://www.hanskissle.com/about/; https://www.hanskissle.com/about/quality-wholesale-food-manufacturer/; https://www.hanskissle.com/about/culinary-expertise/; https://www.hanskissle.com/contact/; https://www.pickyourown.org/copackers-Massachusetts.php,2026-08-26 00:00:00,VERIFIED,4,private_label_own_category; not_general_copack; seed_city_haverhill_ok,"Official site confirms a Haverhill refrigerated prepared-foods plant with custom recipes for retail/foodservice. 9 Creek Brook Drive, (978) 556-4500. No public email. PickYourOwn co-pack listing is thinner than the live private-label/custom-recipe offer. Import only for deli-salad/prepared-food private label, not as a first-jar co-packer.",Hans Kissle,hans kissle|haverhill|MA
