,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,"Martinez Food Products, LLC",Toledo,OH,,,,"Natural salsa, roasted garlic, and roasted vegetables (SFR / PickYourOwn directory text only)","No live origin. martinezfood.com did not resolve. martinez-food.com is an unrelated Martinez, CA restaurant-deals site. Directory address 1220 Belmont Avenue, Toledo. Seed 866-293-5477, 419-720-6973, and info@martinezfood.com unused. Do not confuse with Casa Martinez Mexico salsa.",,,,unknown,https://www.specialtyfoodresource.com/find-a-business-resource/copackers/; https://www.pickyourown.org/copackers-Ohio.php,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; directory_only; seed_phone_unused; seed_email_unused; not_casamartinez_mexico,Hold. Directory salsa packer with a dead domain. Do not invent contacts.,Martinez Food Products,"martinez food products, llc|toledo|OH"
1,Middle Eastern Delites Copackers,Toledo,OH,,,,"Drink mixes, salsa, ketchup, mustards, salad dressing (Cornell directory text only)","No live origin. Cornell FVC lists 1220 Belmont Avenue, Toledo, contact Pete Smith, which is the same street address as Martinez Food Products. Seed notes: not clearly a co-packer. Historical own-brand Fattoush / Mediterranean garlic dressings. middleeasterndelites.com did not resolve. Seed 419-215-8163 unused. Do not merge into Martinez without origin proof they are one plant.",,,,unknown,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; not_clearly_copacker; same_address_as_martinez; seed_phone_unused; directory_only,"Hold. Cornell listing looks like a brand or broker, same block as Martinez. Seed already flagged not clearly a copacker.",Middle Eastern Delites Copackers,middle eastern delites copackers|toledo|OH
2,Mikesell's Snack Food Company (Dayton plant closed; brand licensed to Conn's),Dayton,OH,,,,Potato chips and snacks (historical Dayton plant; now a licensed Conn's brand),"Dayton manufacturing wound down February 2023 after 113 years. Conn's Potato Chip Co. (Zanesville) took a long-term brand license and now makes Mikesell's chips. mikesells.com is a Conn's brand page at 805 Kemper Court, Zanesville (740-452-4615 on that page). Seed was a snack brand, not a third-party co-pack plant. Cornell Tulkoff 40,000-case MOQ leaked from the next block, unused. Seed 937-228-9400 and jstevenson@mike-sells.com unused. Do not mint Conn's as this row.",,,,unknown,https://www.wdtn.com/news/local-news/mikesells-snack-food-company-to-close-after-113-years-in-dayton/; https://www.daytondailynews.com/local/new-details-new-owner-has-started-production-of-mikesells-branded-chips/7MJQJGIINNEKPGNJNFUB6ACMW4/; https://www.mikesells.com/,2026-08-26 00:00:00,EXCLUDE,5,plant_closed_2023; brand_licensed_to_conns; not_copacker; cornell_tulkoff_moq_leak; do_not_revive; seed_phone_unused; seed_email_unused; no_website_for_dayton_plant,Dead Dayton plant. Do not import. Brand lives at Conn's; that is a different company and city.,Mikesell's Snack Food Company,mikesell's snack food company|dayton|OH
3,Albina City Nuts,Portland,OR,https://albinacitynuts.com/,,,Small-batch roasted nuts and toasted corn; Oregon hazelnuts (origin),Live albinacitynuts.com is an own-brand shop. About is family roast story. Contact offers wholesale via Faire or a form. No co-pack language on retrieved origin. ODA locator Bag and Fill / Roasted Nuts / Low / GMP unused. Seed 503-956-9141 and scott.sbell@gmail.com unused.,,,,unknown,https://albinacitynuts.com/; https://albinacitynuts.com/pages/about-us; https://albinacitynuts.com/pages/contact-us; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; wholesale_only_on_origin; seed_phone_unused; seed_email_unused; seed_moq_unused; seed_certs_unused,Hold. Live nut brand with wholesale. Copack is ODA only.,Albina City Nuts,albina city nuts|portland|OR
4,BrucePac,Woodburn,OR,https://www.brucepac.com/,503-874-3000,,"Custom fully cooked chicken, beef, pork, and turkey proteins (origin product pages)","Live brucepac.com. Family-owned since 1949. USDA plants in Woodburn, OR and Durant, OK with capacity of millions of pounds per week. Origin: custom-crafted pre-cooked proteins for retail, foodservice, and industrial customers. About: BRC certified; ISO 17025 third-party pathogen labs; all-natural, humanely raised, antibiotic-free, and organic product options. Packaging page: VFFS pouches 4 oz to 5 lb, MAP, bulk cases and totes. Seed mmclaughlin@brucepac.com unused. Seed Halal and BRCGS unused (origin says BRC, not Halal). Not a first-run kitchen.",VFFS pouches 4 oz to 5 lb; MAP; bulk cases and totes; foodservice bags (origin packaging page),,BRC (origin about); USDA (origin),co-manufacturer,https://www.brucepac.com/; https://www.brucepac.com/aboutus/; https://www.brucepac.com/products/; https://www.brucepac.com/products/packaging/,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_custom_protein; industrial_scale; not_first_run; two_plants_woodburn_durant; seed_email_unused; seed_halal_unused; seed_brcgs_as_brc; no_email_on_origin,Import only if Codex wants industrial cooked-protein scale. Honest: not first-run. Keep bruce pac|woodburn|OR.,BrucePac,bruce pac|woodburn|OR
5,Candy Basket Inc.,Portland,OR,https://www.candybasketinc.com/,503-666-2000,online@candybasketinc.com,Chocolate confections and salt water taffy; retail and wholesale (origin),Live candybasketinc.com is a factory store and wholesale shop at 1924 NE 181st Ave (origin lists both 97203 and 97230). About is family confectioner story. No co-pack or private-label language on retrieved about or contact. Candy Detective directory copack unused. Seed 800-864-1924 and dfuhr@candybasketinc.com unused.,,,,unknown,https://www.candybasketinc.com/; https://www.candybasketinc.com/about-us; https://www.candybasketinc.com/contact,2026-08-26 00:00:00,NEEDS_REVIEW,3,copack_off_origin; brand_site; seed_phone_unused; seed_email_unused,Hold. Live candy factory. Copack is directory-only this check.,Candy Basket Inc.,candy basket inc.|portland|OR
6,Central Oregon Butcher Boys,Prineville,OR,,,,"Custom slaughter and cut-and-wrap of beef, pork, sheep, goats, and some exotics (FSIS / press only)","No company website. USDA FSIS establishment M27493+P27493+V27493 at 2525 NW Ritches Lane, Prineville. Very small custom slaughter and processing for livestock owners, DBA Oregon Canard Farms on FSIS. Not a CPG brand copacker. Seed 541-447-0334 and dberman62@hotmail.com unused. Do not import as a founder co-pack.",,,,unknown,https://www.fsis.usda.gov/inspection/fsis-inspected-establishments/central-oregon-butcher-boys; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,EXCLUDE,4,no_website; custom_slaughter; not_brand_copack; seed_phone_unused; seed_email_unused; do_not_import,"Do not import. Custom USDA slaughter for ranchers, not third-party brand copack.",Central Oregon Butcher Boys,central oregon butcher boys|prineville|OR
7,Century Oak Packing Co.,Mt. Angel,OR,https://centuryoakpacking.com/,503-845-4180,,"Further processed red meat: jerky, snack sticks, bacon, summer sausage and salami, ground and linked products, smoked whole muscle (origin)","Live centuryoakpacking.com. USDA further processor at 9970 Lonely Ln NE for farms, ranches, and other USDA plants. Origin: we do not produce jerky for standalone brands or private-label startups. Beef, pork, lamb, goat. No poultry, rabbit, fish, or game. No harvest floor on site. Real hardwood smoke, no liquid smoke. Vacuum packaging. Batch sizes 50 to 1,000 lb. Phone 503-845-4180 on origin footer. Seed patty@centuryoakpacking.com unused.",Vacuum packaging; case-ready (origin),Jerky 45 lb green wt; sticks 150 lb; bacon 75 lb; summer sausage and salami 100 lb; ground non-linked 50 lb; linked fresh 50 lb; linked cooked 100 lb; sliced cooked 50 lb; smoked boneless 50 lb (origin),USDA inspected (origin),co-packer,https://centuryoakpacking.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; farm_ranch_only; not_private_label_startups; not_first_run; seed_email_unused,Real plant. Origin explicitly will not do founder private-label jerky. Import only if Codex wants farm further-processing.,Century Oak Packing Co.,century oak packing co.|mt. angel|OR
8,Chef George Inc.,Portland,OR,,,,"BBQ sauce, condiments, hot sauce, dressings, salsas, marinades, chutneys (ODA / PickYourOwn directory text only)","chefgeorgeinc.com returned HTTP 404 this check. Directory listings at 7911 NE 33rd Drive, Portland. PickYourOwn (added 2023) lists small-batch acidified, refrigerated, and frozen copack at 503-467-4114 / info@chefgeorgeinc.com. Seed 503-467-4701 and kdreger@chefgeorge.com unused. No live origin.",,,,unknown,https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx; https://www.pickyourown.org/copackers-Oregon.php,2026-08-26 00:00:00,NEEDS_REVIEW,2,origin_404; directory_only; seed_phone_unused; seed_email_unused; no_website,Hold. Official domain 404. Directory copack only.,Chef George Inc.,chef george inc.|portland|OR
9,Galactic Unicorn Packaging,Portland,OR,,,,Non-alcoholic carbonated beverages and CBD beverages (ODA directory / 2024 SEC text only),"galacticup.com NXDOMAIN this check after a 500 and a timeout retry. ODA locator lists Carbonation, CBD non-alcoholic beverages, functional beverages, Velcorin, 200 gallons unused. Eastside Distilling 2024 Form 10-K names Galactic Unicorn Packaging, LLC as Craft C+P copack assets and a Portland CBD copack site. Seed trap: packaging-only or CBD bev. Cannot confirm a live conventional-food origin this check. Seed info@galacticup.com unused.",,,,unknown,https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx; https://www.sec.gov/Archives/edgar/data/1534708/000149315224012410/form10-k.htm,2026-08-26 00:00:00,NEEDS_REVIEW,2,origin_down; nxdomain; cbd_on_directory; seed_email_unused; seed_moq_unused; eastside_distilling_subsidiary_sec_2024,Hold. Domain down after retry. CBD on directory. Do not invent MOQ or contacts.,Galactic Unicorn Packaging,galactic unicorn packaging|portland|OR
