name,city,state,website,phone,email,source_url,source_name,product_types_raw,processes_inferred,moq,certs,notes
Ajmera Innovations,Anaheim Hills,CA,http://ajmerainnovations.com,866-860-3671,info@ajmerainnovations.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Organic/Natural, vegetarian, tea, RTD coffee, concentrates and powders",beverage,,organic,
Purveyor's Kitchen,Auburn,CA,,530-823-8527,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sauces, dessert toppings, condiments",sauces,,,
"Golden West Specialty Foods, Inc.",Brisbane,CA,http://gwsfoods.com,415-657-0123,sales@gwsfoods.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Condiments, BBQ sauce, ethnic sauces, marinades and rubs",sauces,,,
"Garry Packing, Inc.",Del Rey,CA,http://garrypacking.com,800-248-2126,info@garrypacking.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Kosher, other chocolate, dried fruit",chocolate,,kosher,
Bella Viva Orchards,Denair,CA,http://bellaviva.com,800-552-8218,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Dried fruits and nuts, trail mix and chocolate covered fruits and nuts",chocolate,,,
Capay Canyon Ranch,Esparto,CA,,530-662-2372,capaycanon@msn.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Tomatoes (dried), table grapes, almonds & walnuts",,,,
ABCO Labs,Fairfield,CA,,800-678-2226,sstanben@abcolabs.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","500-1,000 lbs. runs",,"500-1,000 lbs. runs",,
Fruit Fillings Inc.,Fresno,CA,http://www.fruitfillings.com,559-237-4715,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Fruit fillings,,,,
"Pacific Choice Brands, Inc.",Fresno,CA,http://www.pacificchoicebrands.com,559-237-5583,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sauces, salsa, pickles",sauces,,,
Valley Fig Growers,Fresno,CA,http://valleyfig.com,559-237-3893,lcain@valleyfig.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Baking mixes and ingredients, balsamic vinegar and dried fruits",,,gluten-free; kosher; organic,
