name,city,state,website,phone,email,source_url,source_name,product_types_raw,processes_inferred,process_for_pages,moq,certs,notes
Ajmera Innovations,Anaheim Hills,CA,http://ajmerainnovations.com,866-860-3671,info@ajmerainnovations.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Organic/Natural, vegetarian, tea, RTD coffee, concentrates and powders",beverage,,,organic,2015 PDF website: dead; still_claims_copack=unknown
Purveyor's Kitchen,Auburn,CA,,530-823-8527,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sauces, dessert toppings, condiments",sauces,sauce/condiment,,,2015 PDF website: no-url; still_claims_copack=unknown
"Golden West Specialty Foods, Inc.",Brisbane,CA,http://gwsfoods.com,415-657-0123,sales@gwsfoods.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Condiments, BBQ sauce, ethnic sauces, marinades and rubs",sauces,sauce/condiment,,,2015 PDF website: live; still_claims_copack=no
"Garry Packing, Inc.",Del Rey,CA,http://garrypacking.com,800-248-2126,info@garrypacking.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Kosher, other chocolate, dried fruit",chocolate,,,kosher,2015 PDF website: dead; still_claims_copack=unknown
Bella Viva Orchards,Denair,CA,http://bellaviva.com,800-552-8218,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Dried fruits and nuts, trail mix and chocolate covered fruits and nuts",chocolate,,,,review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=no
Capay Canyon Ranch,Esparto,CA,,530-662-2372,capaycanon@msn.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Tomatoes (dried), table grapes, almonds & walnuts",,,,,2015 PDF website: no-url; still_claims_copack=unknown
ABCO Labs,Fairfield,CA,,800-678-2226,sstanben@abcolabs.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","500-1,000 lbs. runs",,,"500-1,000 lbs. runs",,2015 PDF website: no-url; still_claims_copack=unknown
Fruit Fillings Inc.,Fresno,CA,http://www.fruitfillings.com,559-237-4715,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Fruit fillings,,,,,2015 PDF website: live; still_claims_copack=no
"Pacific Choice Brands, Inc.",Fresno,CA,http://www.pacificchoicebrands.com,559-237-5583,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Sauces, salsa, pickles",sauces,sauce/condiment,,,review: contradiction — see copackers-review.md; 2015 PDF website: dead; still_claims_copack=unknown
Valley Fig Growers,Fresno,CA,http://valleyfig.com,559-237-3893,lcain@valleyfig.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Baking mixes and ingredients, balsamic vinegar and dried fruits",,,,gluten-free; kosher; organic,2015 PDF website: live; still_claims_copack=no
Blossom Valley Foods,Gilroy,CA,http://blossomvalleyfoods.com,408-848-5520,info@blossomvalleyfarms.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Non-alcoholic cocktail mixers, vinegars, organic and all natural sauces dressings and hot sauces",beverage; sauces,sauce/condiment,,organic,review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=yes
Stapleton Spence,Gridley,CA,http://www.stapletonspence.com,408-297-8815,bstapleton@stapleton-spence.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Bottling, bagging, canning, aseptic, product development",canning,,,,2015 PDF website: dead; still_claims_copack=unknown
Timber Crest Farms,Healdsburg,CA,http://timbercrest.com,888-374-9325,tcf@timbercrest.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",FDA high acid & low acid cannery in glass; flex packaging 3 oz to 5 lbs,canning,,,FDA,review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=no
Sona & Hollen,Los Alamitos,CA,,310-431-1379,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Tomatoes and other wet food products,,,,,2015 PDF website: no-url; still_claims_copack=unknown
Kagome,Los Banos,CA,,209-826-8850,luis.deoliveira@kagomeusa.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Custom culinary sauces,sauces,sauce/condiment,,,2015 PDF website: no-url; still_claims_copack=unknown
Bell-Carter Packaging,Modesto,CA,http://bcpackaging.com,209-549-5939,sales@bcpackaging.com,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)",Station packaging and assembly line services,,,,,review: not clearly a co-packer; review: contradiction — see copackers-review.md; 2015 PDF website: live; still_claims_copack=no
George Chiala Farms,Morgan Hill,CA,,408-778-0562,,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,"UC Food Safety / CLFP — California Food Processing Co-Packers (Rob Neenan, CLFP, 2015 PDF still posted)","Freezing, cold packing, fire roasting, dehydration",cold-fill; dehydration,,,,review: contradiction — see copackers-review.md; 2015 PDF website: no-url; still_claims_copack=unknown
