,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,"ABCO Laboratories, Inc.",Fairfield,CA,https://www.abcolabs.com/,800-678-2226,,"Custom dry seasoning blends; snack seasonings; baking mixes; dry marinades and rubs; gourmet drink mixes; herbs and spices; dietary supplements (powder, capsule, liquid, tablet); shelf-stable liquids. No sauces or condiments.","Live abcolabs.com states custom and contract manufacturing for food and nutritional products since 1963 at a solar-powered Fairfield plant (2450 S Watney Way). Food Blends page: private label and turnkey dry mixes; peanut-free; does not co-pack sauces or condiments; does pack dry blends, seasonings, shelf-stable liquids, vitamin premixes. Batch dry blending up to 15000 lbs and liquid/semi-solid blending up to 2000 gallons are capacities, not MOQs. Contact page: discuss manufacturing needs; sales number 800-678-2226. Seed email sstanben@abcolabs.com unused. Seed 500-1000 lb CLFP run unused.","Bulk totes, drums, and boxes; unit-packed foods; foil/paper/poly and multilayer bags; fiber cans; tubes; bottles; jars; pails; retail, custom, or bulk packaging up to 2000 lbs (FAQ)",,,co-manufacturer,https://www.abcolabs.com/; https://www.abcolabs.com/why-abco/; https://www.abcolabs.com/food-products/; https://www.abcolabs.com/contact-us/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; no_sauces; peanut_free; high_volume_capacity; seed_email_unused; seed_moq_unused; no_named_certs_on_origin,"Import as a dry-blend/seasoning co-man, not a sauce plant. FAQ says they can accommodate Organic/Kosher/Non-GMO Project requests; those are not listed as current plant certs so certs stay blank. 2015 CLFP 500-1000 lb figure unused.",ABCO Labs,abco labs|fairfield|CA
1,Capay Canyon Ranch,Esparto,CA,https://capaycanyonranch.com/,,,"Own-farm almonds; walnuts; organic table grapes and raisins. Almond hulling, shelling, and heat pasteurization for growers.","Live capaycanyonranch.com is a family almond farm and handler founded 1972 (Stan and Leslie Barth). Offers hulling and shelling to local almond growers and in-house almond pasteurization. Grapes packed on premise for co-ops, stores, and farmers markets. No third-party brand co-pack, sauce, or packaged-food manufacturing on retrieved pages. Seed 530-662-2372 and capaycanon@msn.com unused.",,,,unknown,https://capaycanyonranch.com/; https://capaycanyonranch.com/farming/walnuts-and-grapes/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,EXCLUDE,5,not_copacker; grower_handler; seed_phone_unused; seed_email_unused,"Do not import. Live farm/handler, not a food/bev copacker. 2015 CLFP row is stale for this use.",Capay Canyon Ranch,capay canyon ranch|esparto|CA
2,K&G Custom Foods Inc.,San Diego,CA,,,,Frozen custom handmade foods (2015 CLFP / directory text only),"No live origin. kgcustomfoods.com does not resolve. California SOS record for K & G Custom Foods, Inc. (filed 2012, 2515 Britannia Blvd) is inactive on CorporationWiki. Remaining copy is the 2015 UC Davis/CLFP PDF and scrapes of that PDF. Seed 619-651-9033 and operations@kgcustomfoods.com unused. Do not revive.",,,,unknown,https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf; https://www.corporationwiki.com/California/San-Diego/k-g-custom-foods-inc/108211025.aspx,2026-08-26 00:00:00,EXCLUDE,4,no_website; sos_inactive; stale_2015_clfp; seed_phone_unused; seed_email_unused; do_not_revive,Dead listing. Do not import. Distinct from other K&G Foods names.,K&G Custom Foods Inc.,k&g custom foods inc.|san diego|CA
3,"Kagome USA, Inc.",Los Banos,CA,https://kagomeusa.com/,,,Foodservice sauces and dressings; margarines and spreads; specialty oil blends; plant-based products; private-label sauces,"Live kagomeusa.com Co-Manufacturing page states full-service formulas plus manufacturer of private label brands. Custom formulations; SQF; cannot produce products with more than 2% animal protein; peanut-free; organic manufacturing at one plant. Typical minimum pack 12000 lbs equivalent. Facilities page: HQ 333 Johnson Road, Los Banos, CA 93635; also Kagome Foods Osceola AR and a San Carlos innovation center. Large industrial tomato/sauce house, not a first-jar plant. Seed 209-826-8850 and luis.deoliveira@kagomeusa.com unused (not on retrieved origin pages).",Portion-control cups; flexible pouches; bowls; squoval; jug; jug-in-box; bag-in-box; pails; drums; totes; plastic tubs and bag-n-box for spreads/margarines,12000 lbs equivalent (origin FAQ),SQF (origin FAQ); organic manufacturing at one plant (origin FAQ),co-manufacturer,https://kagomeusa.com/; https://kagomeusa.com/co-manufacturing/; https://kagomeusa.com/packaging/; https://kagomeusa.com/facilities-locations/; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,5,origin_confirms_copack; high_volume_signal; not_first_run; industrial_tomato_sauce; moq_published; seed_phone_unused; seed_email_unused; peanut_free,Import only if Codex wants industrial foodservice sauce scale. Honest 12000 lb floor. Not a Gen Z first-run plant.,Kagome,kagome|los banos|CA
4,Nimiano Spices Inc. (now Nimiano Inc.),Chatsworth,CA,,,,Spices and custom spice blends; private-label pack/seal/label claimed on PickYourOwn only,"nimiano.com returns 404. CA SOS shows Nimiano Inc. active at 9614 Cozycroft Ave Ste A, Chatsworth (name change from Nimiano Spices Inc; CEO Nima Ostad). Amazon still sells Nimiano-brand spice jars. Copack, small-startup, glass/plastic, and sourcing claims are PickYourOwn/SBDC copies of the same visitor listing, not an origin page. Seed (310) 210-6365 and sales@nimiano.com unused.",Glass and plastic claimed on PickYourOwn only,,,unknown,https://www.pickyourown.org/copackers-California.php; https://www.bizprofile.net/ca/los-angeles/nimiano-inc,2026-08-26 00:00:00,NEEDS_REVIEW,2,no_website; domain_404; copack_pyo_only; seed_phone_unused; seed_email_unused; sos_active_as_nimiano_inc,Hold. Entity may still exist as a spice brand/packer. Do not import as a confirmed copacker until a company page states co-pack.,Nimiano Spices Inc,nimiano spices inc|chatsworth|CA
5,"Premier Foods, LLC",Santa Fe Springs,CA,https://premierfoodsllc.wordpress.com/,,,"Sauces, dressings, oils, vinegars, marinades, and honey","premierfoodsllc.wordpress.com is a thin WordPress.com page that states contract packing and private label programs, custom formulations, hot and cold fill, glass and plastic, pH and non-pH controlled products, nutritional labeling, and small minimum runs. Founded 2004, Santa Fe Springs. premierfoodsllc.com did not respond this check. CA SOS still lists Premier Foods, LLC active at 12946 Park St as of a 2025 bizfile scrape. Seed 562-944-1858 and premierfoods@verizon.net unused (not on the WordPress page). Cert claims on the WordPress page only.",Glass and plastic containers (origin WordPress),,SQF; FDA; GMP; Organic; Kosher; HACCP (WordPress page claims only),co-packer,https://premierfoodsllc.wordpress.com/; https://www.bizprofile.net/ca/santa-fe-springs/premier-foods-llc; https://ucfoodsafety.ucdavis.edu/sites/g/files/dgvnsk7366/files/inline-files/240926.pdf,2026-08-26 00:00:00,VERIFIED,3,origin_confirms_copack; thin_wordpress_origin; dedicated_domain_down; seed_phone_unused; seed_email_unused; certs_wordpress_only; no_published_numeric_moq; startup_friendly_claim,"Origin does say copack, so VERIFIED at confidence 3. Dedicated domain is down. Recheck before pitching as a live first-run sauce plant. Small-minimum-runs claim is not a number.","Premier Foods, LLC","premier foods, llc|santa fe springs|CA"
6,Sweet Shell Enterprises LLC,Las Vegas,NV,,,,Pet food (dog and cat) per PickYourOwn visitor listing,"No live origin. sweetshellco.com does not resolve. PickYourOwn Nevada list (added 2021) describes a pet-food copacker and used city Las Vegas with state CA (mismatch; ZIP 89110 is NV). Buzzfile places Sweet Shell Enterprises LLC at 104 W Mayflower Ave, North Las Vegas, NV. LinkedIn quality roles mention USDA/FDA/pet food manufacturing. Food/bev conventional directory exclude. Seed (702) 337-8702 and sal@sweetshellco.com unused.",,,,unknown,https://www.pickyourown.org/copackers-Nevada.php; https://www.buzzfile.com/business/Sweet-Shell-Enterprises-LLC-702-337-8702,2026-08-26 00:00:00,EXCLUDE,5,pet_food; food_bev_exclude; seed_state_was_CA; city_state_corrected_to_NV; no_website; seed_phone_unused; seed_email_unused,"Do not import into food/bev copack. Seed city/state mismatch corrected to Las Vegas, NV. Not a human-food plant.",Sweet Shell Enterprises LLC,sweet shell enterprises llc|las vegas|CA
7,"Kefla Organics (Golden Aloha, LLC)",Louisville,CO,,,,"Hemp-derived CBD chocolates, gummies, and oils (historical brand)","keflaorganics.com is an expired domain for sale. enjoykefla.com does not resolve. Colorado trade name Kefla Organics / Kefla is Golden Aloha, LLC at 609 S Taylor Ave Ste C, Louisville. Historical brand pages described organic full-spectrum hemp chocolates and gummies, not conventional food copack. Food/bev exclude plus dead origin. Seed 415-663-5776, brian@enjoykefla.com, and directory MOQs unused.",,,,unknown,https://opengovco.com/trade-name/20218187130; https://popupgrocer.com/products/kefla-organics,2026-08-26 00:00:00,EXCLUDE,5,cannabis; hemp_cbd; food_bev_exclude; domain_expired; seed_phone_unused; seed_email_unused; seed_moq_unused; do_not_revive,Do not import. Hemp/CBD brand with a dead domain. Same pattern as other cannabis kitchen excludes.,Kefla Organics,kefla organics|louisville|CO
8,Williams & Bennett Fine Foods (Las Olas brand),Delray Beach,FL,,,,"Own-brand chocolate-dipped cookies/pretzels, bark, and toffee (now a Las Olas house brand)","williamsandbennett.com redirects to ohasis.com (Oh!asis tropical candy retail, a sister Las Olas brand). lasolasbrands.com still names Williams & Bennett as an in-house brand made at the Orlando plant. Batch 17 already VERIFIED Las Olas Confections and Snacks (Orlando, lasolasbrands.com, 407-816-9944). Seed Delray Beach / 2885 S Congress is a stale PickYourOwn copacker row, not a separate plant. Seed (561) 276-9007 and sales@williamandbennet.com unused. Daily merge 2026-08-22 listed this name; it is not in cleaned 01-22 as its own plant.",,,,brand with co-pack mention,https://lasolasbrands.com/; https://ohasis.com/; https://www.pickyourown.org/copackers-Florida.php; https://bbxcapital.com/bbx-sweet-holdings/las-olas/,2026-08-26 00:00:00,EXCLUDE,5,cross_batch_dupe; brand_of_las_olas_batch_17; not_a_separate_plant; seed_delray_stale; website_redirects_to_ohasis; seed_phone_unused; seed_email_unused,Do not import this Delray row. Copack plant is Batch 17 Las Olas Orlando (las olas confections and snacks|orlando|FL). Keep that master. Do not create a second plant.,Williams & Bennett Fine Foods,williams & bennett fine foods|delray beach|FL
9,Parisa's Manufacturing Kitchen,Saint Simons Island,GA,,,,Own-brand marinara / refrigerated sauces (historical),parisassauce.com does not resolve. PickYourOwn Georgia note (2021) said the website was gone and assumed closure. 2015 Golden Isles item described an FDA kitchen at 406 Business Center Drive for Parisa's Sauce. No live origin this check. Seed 912-634-6485 and sales@parisassauce.com unused. Do not revive.,,,,unknown,https://www.pickyourown.org/copackers-Georgia.php; https://www.goldenislesmagazine.com/columns/coastal_queue/parisas-manufacturing-kitchen-opens-on-st-simons-island/article_0446eb36-e3ab-11e4-9946-4375797c3c49.html,2026-08-26 00:00:00,EXCLUDE,4,no_website; likely_closed; pyo_2021_closure_note; seed_phone_unused; seed_email_unused; do_not_revive,Do not import. Stale sauce-kitchen listing with no live site.,Parisa's Manufacturing Kitchen,parisa's manufacturing kitchen|saint simon's island|GA
