company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
Paxton Packing,Paxton,IL,http://www.paxtonpacking.com,(217) 379-1705,,,,,,,unknown,http://www.paxtonpacking.com; https://www.paxtonpacking.com/,2026-08-22,EXCLUDE,2,dead_domain; wix_unconnected,paxtonpacking.com shows Wix ConnectYourDomain error / 404. Cannot verify jerky co-pack claims from PickYourOwn. Seed email glen@522creative.com looks agency-like; not used.,Paxton Packing,paxton packing|paxton|IL
Sonoma Farm Co-Packing,Shelby,IN,https://sonomafarmcopacking.com,(219) 613-5419,dominic@sonomafarm.com,Pasta sauces; pizza sauce; salsas; BBQ sauces; hot sauces; infused oils; vinegars; mustards; salad dressings; jams,Small-batch co-packing; private label / white label; recipe testing; ingredient sourcing; packaging; fulfillment; R&D; nutrition label help for prior products,Glass and plastic bottles/jars (white label case packs published for oils and sauces),Hands-on small batches; FAQ states most plants require 100+ gallons while they typically run up to about 40 gallons. White label page: minimum 1 case per flavor (some specialty sauces 5 cases),FDA facility registration claimed (plant number 34611 on FAQ); Indiana Department of Health registration claimed,co-packer,https://sonomafarmcopacking.com/; https://sonomafarmcopacking.com/about-us/; https://sonomafarmcopacking.com/frequently-asked-questions/; https://sonomafarmcopacking.com/private-label/; https://sonomafarmcopacking.com/contact-us/,2026-08-22,VERIFIED,5,startup_friendly; small_batch; acidified_sauces,Strong official co-pack site for NW Indiana. Contact matches seed. Directory kosher/nut-free claims not confirmed on pages checked; left blank beyond FDA/IN DOH registration claims on FAQ.,Sonoma Farm Co-Packing,sonoma co packing|shelby|IN
"Bake'n Joy Foods, Inc.",North Andover,MA,https://www.bakenjoy.com/,978-683-1414,productinfo@bakenjoy.com,Frozen muffin/cornbread/loaf batters; mixes and bases; thaw-and-serve cupcakes/whoopie shells/coffee cakes; fillings; icings; cookies,Bakery manufacturing; private label product development; exclusive formula development for retail/QSR/foodservice; R&D and QC labs,Predeposited frozen formats; freezer-to-oven; scoop-and-bake; mixes; private label coffee cakes and retail thaw-serve,,SQF certified; full HACCP program (claimed on Manufacturing page),private-label producer,https://www.bakenjoy.com/; https://www.bakenjoy.com/about/manufacturing/,2026-08-22,VERIFIED,4,bakery_industrial; private_label,Large bakery manufacturer with published private label capabilities and SQF/HACCP claims. Seed email gfregone@ not shown; using productinfo@. Seed frozen MOQ not confirmed on manufacturing page; left blank. Better fit for established private-label bakery programs than tiny first runs.,"Bake'n Joy Foods, Inc.","bake & joy foods, inc.|north andover|MA"
Cape Cod Provisions (New England Candy Company LLC),West Wareham,MA,https://www.CapeCodProvisions.com,(508) 776-0499,jack@capecodprovisions.com,Chocolate-covered treats; fudge; cranberry candy; barks; specialty confection brands,Wholesale confectionery; Co-Pack and Private Label nav page exists but body content empty as of check; Why page describes own wholesale brands,Retail confection packaging; gift packs; bulk wholesale options (own brands),,,unknown,https://www.capecodprovisions.com/; https://www.capecodprovisions.com/pages/co-pack-and-private-label; https://www.capecodprovisions.com/pages/why-cape-cod-provisions,2026-08-22,NEEDS_REVIEW,2,thin_copack_evidence; brand_storefront,Live site is multi-brand confection wholesale/DTC. Co-Pack and Private Label page exists but Shopify body_html empty. Seed shared-kitchen framing not confirmed. Phone/email from seed only; not verified on scraped pages.,Cape Cod Provisions,new england candy company llc|west wareham|MA
Worcester Regional Food Hub,Worcester,MA,https://www.worcesterfoodhub.org,508-667-5792,info@worcesterfoodhub.org,"Commercial kitchen access for caterers, bakers, and food producers (member production; not a turnkey co-packer)",Shared commercial kitchens; education/training; business support; Launching New Food Entrepreneurs program; kitchens in Worcester and Fitchburg,,,,shared kitchen/incubator,https://www.worcesterfoodhub.org/; https://www.worcesterfoodhub.org/what-we-do,2026-08-22,LISTABLE,4,shared_kitchen; incubator; city_note,Official site confirms shared commercial kitchens and entrepreneur support. Seed URL worcester.foodhub.org is DNS dead; use worcesterfoodhub.org. Seed city Shrewsbury vs hub address 2 Washington Square Worcester; listing city set to Worcester. Seed phone retained.,Worcester Regional Food Hub,worcester regional food hub|worcester|MA
Mama Vida Inc.,Randallstown,MD,https://mamavida.com,410-521-0742,Bessy@mamavida.com,Gourmet marinara and sauces; salsas (incl. blue crab salsa); private label sauces; own brands Mama Vida / Toto's Authentic / Don Vito,Private label and co-packing (40+ years claimed); culturally accurate recipe production without preservatives/chemical additives,,,,co-packer,https://mamavida.com/; https://mamavida.com/about/,2026-08-22,VERIFIED,5,also_own_brand; acidified_sauces; startup_relevant,Site confirms private label and copacking customers plus own sauce brands. Address 9631 Liberty Rd STE N Randallstown. Seed info@ not shown; using Bessy@. www.mamavida.com timed out; apex mamavida.com works.,Mama Vida Inc.,mama vida inc.|randallstown|MD
Qualia Specialty Provisions,Madison Heights,MI,https://qualiaprovisions.com,(248) 930-2332,hello@qualiaprovisions.com,Spices; seasonings; teas; dry free-flowing ingredient blends,Dry ingredient blending; co-packing; recipe formulation; private-label packaging,,,,co-packer,https://qualiaprovisions.com/; https://www.qualiaprovisions.com/about-us; https://qualiaprovisions.com/contact-us,2026-08-22,VERIFIED,5,dry_blend; startup_friendly; nut_free_seed_unverified,Site and About confirm dry blending co-packer/private label in Madison Heights (655 E 10 Mile Rd). Seed email jared@ not shown; using hello@. Seed nut-free claim not confirmed on pages checked; left blank.,Qualia Specialty Provisions,qualia specialty provisions|madison heights|MI
Total Food Package,Spring Lake,MI,https://totalfoodpackage.com/,(616) 847-1868,sales@totalfoodpackage.com,Dry blends; flavored sugars; salts; spice blends; tea pouches; organic sugar floss; other dry products,Allergen-free dry blending and co-packing; packaging; labeling; distribution; inventory/storage; Amazon and direct drop-ship; small and large runs,Sample pouches; spice jars; tea pouches; other dry packaging,,Organic certified; Kosher certified; allergen-free facility; gluten free; US FDA registered (claimed on homepage),co-packer,https://totalfoodpackage.com/,2026-08-22,VERIFIED,5,startup_friendly; allergen_free; organic_capable; drop_ship,Clear allergen-free dry co-packer positioning with published certs and sales@. Strong first-run signal (small runs + drop ship).,Total Food Package,total food package|spring lake|MI
Hemp Acres,Waconia,MN,https://www.hempacresusa.com/,612-230-9150,sales@hempacresusa.com,Hemp seed oil; hemp hearts; hulls; protein powder/pellets; other hemp grain ingredients; tolling for sunflower/flax/canola and similar oilseeds,Grain receiving/cleaning; expeller press; milling/sifting; dehulling; custom blending; oil refining/bleaching; co-packing dry powder/oils/other liquids; tolling/contract manufacturing,,,,co-manufacturer,https://www.hempacresusa.com/; https://www.hempacresusa.com/pages/tolling-services; https://www.hempacresusa.com/pages/about-us,2026-08-22,VERIFIED,4,hemp_specialty; tolling; ingredient_focus,"Tolling Services page explicitly lists co-packing for dry powder, oils, and other liquids. Food/bev ingredient relevant; also serves non-food hemp applications. Seed email vikki@ not shown; using sales@.",Hemp Acres,hemp acres|waconia|MN
"NeuSpice & Seasoning, LLC",Washington,NC,https://neuspice.com/,(252) 378-7912,flavor@neuspice.com,Custom spice blends; dry soup bases; seasonings; BBQ rubs; gravy and salad mixes; dressings/dips/sauces mixes for retail and foodservice,Small-batch custom spice blending; recipe development from scratch or existing formulas; packaging for retail/foodservice/manufacturers,Plastic and dry shelf formats (details inquire),,,co-manufacturer,https://neuspice.com/; https://neuspice.com/about/; https://neuspice.com/contact/,2026-08-22,VERIFIED,4,startup_friendly; dry_blend; small_batch,Site confirms custom spice blend manufacturing for chefs/restaurants/food manufacturers. Address 4571 US Hwy 264 Washington NC. Branding alternates NueSpice/NeuSpice.,"NeuSpice & Seasoning, LLC",neu spice and seasoning llc|washington|NC
South Atlantic Packaging,Winston-Salem,NC,https://www.southatlanticpackaging.com,(336) 774-3122,pat@southatlanticpackaging.com,Contract packaging / secondary packaging for CPG (incl. beverage gift packs and retail displays); not primary food manufacturing,Contract packaging; embedded packaging crews; retail display programs; family of plants with ProStar (PA) and Versatile Packagers (FL),Secondary packaging and retail display assembly,,SQF; AIB; FDA; OTC (claimed on homepage among company certifications),secondary packaging,https://southatlanticpackaging.com/; https://www.southatlanticpackaging.com,2026-08-22,EXCLUDE,5,secondary_packaging; not_primary_manufacturer,"Confirmed contract/secondary packaging company, not a food co-manufacturer. Seed phone (607) 727-6655 does not match site (336) 774-3122. Exclude from food/bev manufacturer import.",South Atlantic Packaging,south atlantic packaging|winston-salem|NC
"Lynch Specialty Foods, Inc.",Rollinsford,NH,https://specialtyfoods.com,603-978-649,Bob@lynchspecialtyfoods.com,"Private-label baking mixes (bread, brownie, cookie, cupcake, muffin, pancake, waffle, scone mixes) per directory listings only",Directory-described private-label baking mix developer/manufacturer; not verified on live company site,,,,unknown,https://specialtyfoods.com; https://www.pickyourown.org/copackers-New%20Hampshire.php,2026-08-22,NEEDS_REVIEW,1,site_unreachable; directory_only,specialtyfoods.com redirects then hangs (0 bytes). lynchspecialtyfoods.com DNS NXDOMAIN. Only PickYourOwn/SFR directory evidence. Phone may be truncated. Do not invent certs or revive as VERIFIED.,"Lynch Specialty Foods, Inc.","lynch specialty foods, inc.|rollinsford|NH"
FishSki Provisions,Alcalde,NM,https://fishskiprovisions.com,720-442-0814,fishski@fishskiprovisions.com,Dry meals; spices; pasta; meal kits; cereals; nuts; coffee; tea; Hatch chile mac and grits (own brand plus co-pack),Dry ingredient co-packing; co-branding; private label; ingredient/packaging sourcing; recipe development and cost analysis; blending; branding/package design,Pouches via VFFS; packs from about 1 oz to 10 lb,400 units+ (published on Co-Packing and Private Label page),,co-packer,https://fishskiprovisions.com/; https://fishskiprovisions.com/pages/co-packing-and-private-label,2026-08-22,VERIFIED,5,startup_friendly; dry_blend; published_moq; also_own_brand,Dedicated co-packing page with published 400 units+ MOQ and facility in Rio Arriba County NM. Phone on co-pack page is 720-442-0814 (seed had 0824). Strong Gen Z first-run fit.,FishSki Provisions,fish ski provisions|alcalde|NM
