,company_name,city,state,website,phone,public_email,product_types,manufacturing_capabilities,packaging_formats,moq,certifications,operation_type,source_urls,last_checked_date,status,confidence,flags,quality_notes,master_name,master_dedupe_key
0,Freshies Food Corporation,Denver,CO,https://freshies.com/,(303) 382-1805,sales@freshies.com,Cocktail mixes; hot sauces; BBQ sauce; cocktail rimming blends,"Private label and product development for cocktail mixes, hot sauces, and rimming blends",,,,private-label producer,https://freshies.com/; https://freshies.com/about/; https://www.pickyourown.org/copackers-Colorado.php,2026-08-22 00:00:00,VERIFIED,4,city_updated_from_seed; private_label; www_freshies_com_500; email_updated_from_site,freshies.com About page confirms private label/development for mixes and sauces; Denver address 4860 Broadway. Seed city Peyton appears wrong (Peyton is a different CO listing). www.freshies.com returned WordPress critical error.,Freshies Food Corporation,freshies food corporation|peyton|CO
1,Fuel Kitchens,Pueblo,CO,https://www.fuelkitchens.com/,719-545-0155,nathan@fuelkitchens.com,Sauces and condiments; dairy dips; jarred acidified soups; dry spice blends; syrups; jams; honey repack,Co-manufacturing (tolling); test batching; shared commissary kitchen membership; packaging/labeling using client-supplied materials,,,FDA compliant (claimed on co-manufacturing page),shared kitchen/incubator,https://www.fuelkitchens.com/; https://www.fuelkitchens.com/co-manufacturing; https://docs.google.com/spreadsheets/d/e/2PACX-1vTA82aZVxeliPx-7GKPe7UKKzNEvBS9jN1dqVN-U1jqUXflespT9AdkVYHek7RlyVZT68pBUrjIycL3/pub?gid=560248172&single=true&output=csv,2026-08-22 00:00:00,VERIFIED,4,shared_kitchen; also_comanufacturer; startup_friendly; flexible_moq_claimed,Own site has membership shared kitchen plus dedicated Co-Manufacturing page listing sauces/condiments and tolling model; homepage still describes facility renovation/tour language.,Fuel Kitchens,fuel kitchens|pueblo|CO
2,Kim's Gourmet Sauces,Castle Rock,CO,https://www.kimsgourmet.com,(303) 961-5911,info@kimsgourmet.com,Sauces; dressings; pickles; condiments; BBQ and hot sauces; mixes,Co-packing; co-manufacturing; R&D; recipe scale-up; warehousing and fulfillment; flexible batch sizes,Pouches; glass; gallons (flexible packaging options stated),,,co-manufacturer,https://www.kimsgourmet.com; https://www.pickyourown.org/copackers-Colorado.php,2026-08-22 00:00:00,VERIFIED,5,startup_friendly; city_updated_from_seed; email_updated_from_site,Own site clearly markets co-packing/co-manufacturing with client testimonials; footer address Castle Rock (seed Hotchkiss). Public email on site is info@kimsgourmet.com.,Kim's Gourmet Sauces,kim's gourmet sauces|hotchkiss|CO
3,Kitchen Network Bottling Co.,Denver,CO,http://kndenver.com,303-922-1011,main@knbottling.com,Low-acid heat-filled shelf-stable sauces; dressings; beverages; condiments (directory),Heat fill; mixing; bottling; labeling (directory/historical),Glass jars (directory),,,co-packer,http://kndenver.com; https://docs.google.com/spreadsheets/d/e/2PACX-1vTA82aZVxeliPx-7GKPe7UKKzNEvBS9jN1dqVN-U1jqUXflespT9AdkVYHek7RlyVZT68pBUrjIycL3/pub?gid=560248172&single=true&output=csv,2026-08-22 00:00:00,NEEDS_REVIEW,2,website_down; possibly_closed; directory_only_detail,kndenver.com timed out / Cloudflare 522 on retry. Third-party review (Mar 2023) said out of business. Do not treat as confirmed active without phone/email confirmation.,Kitchen Network Bottling Co.,kitchen network bottling co.|denver|CO
4,Craft Cannery,Bergen,NY,https://www.craftcannery.com/,585-350-5788,paul@craftcannery.com,Sauces; dressings; marinades; formulated acid and acidified foods,Contract manufacturing; private labeling; co-packing; pilot/prototype; R&D; thermal processing; pH testing; small to mid-size batches,Bottling line (formats not itemized beyond bottling),No minimums stated on site (40-gallon kettles for small/trial batches),FDA; NY Ag & Markets; USDA; SQF (GFSI); OK Kosher; Non-GMO; USDA Organic coming Jan 2026 (claimed),co-manufacturer,https://www.craftcannery.com/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-22 00:00:00,VERIFIED,5,startup_friendly; low_moq_claimed; moq_published; acidified,Own site confirms contract manufacturing for sauces/dressings/marinades with no-minimums claim and listed inspection/cert bodies.,Craft Cannery,craft cannery|bergen|NY
5,Dolce Amore,Lindenhurst,NY,http://dolceamoreny.com,718-246-5414,marcello@dolceamoreny.com,Filled and flat pasta; gelato; sorbet; tartufo; prepared meal kits,IQF freezing for pasta and meal kits; co-pack claimed in Cornell directory for ravioli/fillings/gelato,,,,brand with co-pack mention,http://dolceamoreny.com; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-22 00:00:00,LISTABLE,3,brand_site_thin_on_copack; directory_copack_claim,Official site is own-brand pasta/gelato storefront with no clear co-pack CTA. Cornell kitchens/co-packers directory includes first-person co-pack language.,Dolce Amore,dolce amore|lindenhurst|NY
6,Lupo's Bottling LLC,Endicott,NY,https://www.spiedies.com/,607-765-7639,lupostephen@gmail.com,Cold-fill marinades and sauces; meats (own brand),Private label co-packing for cold-fill marinades/sauces; recipe development (Cornell); no cook/hot-fill (Cornell),Plastic bottles 16 oz to 128 oz (Cornell),,,co-packer,https://www.spiedies.com/; https://www.spiedies.com/product-guide/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-22 00:00:00,LISTABLE,3,brand_site_thin_on_copack; cold_fill_only; directory_copack_claim,spiedies.com is primarily Lupo brand meats/marinades; product guide mentions private labels available. Cornell listing describes private-label cold-fill co-packing only (no hot fill).,Lupo's Bottling LLC,lupo's bottling llc|endicott|NY
7,To-Go Packs,Rockbridge,OH,https://to-gopacks.com,(216) 235-2110,rick@to-gopacks.com,Sauces and condiments (portion packs and retail packs),Small-batch sauce production; recipe support; FDA compliance guidance; custom packaging; private labeling,Portion control packs; sample packets; pouches; bottles; flexible packets 0.25 oz to 2 oz,"15,000-500,000 packets (stated for small-batch packet production)",,co-packer,https://to-gopacks.com; https://www.pickyourown.org/copackers-Ohio.php,2026-08-22 00:00:00,VERIFIED,5,startup_friendly; moq_published; portion_packs,Own site clearly offers sauce production and packaging for startups through larger runs; packet MOQ range published. Seed also listed canning; own site emphasizes packets/pouches/bottles.,To-Go Packs,to-go packs|rockbridge|OH
8,Alpenrose Dairy (Smith Brothers Farm),Clackamas,OR,https://alpenrose.com/co-package/,503-244-1133,wholesale@alpenrose.com,Milk; butter; sour cream; cottage cheese; ice cream mix; other dairy; private label/store brand,Private label and store-brand dairy co-packaging,,,,private-label producer,https://alpenrose.com/co-package/; https://alpenrose.com/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-22 00:00:00,VERIFIED,5,dairy; private_label; inquire_minimums,Dedicated co-packaging page confirms private label/store brand dairy production for retailers/distributors/foodservice. Seed Organic/SQF and juice claims not confirmed on co-pack page; left blank.,Alpenrose/Smith Brothers Farm,alpenrose/smith brothers farm|clackamas|OR
9,"America's Foods, Inc. (American Noodle Inc.)",Portland,OR,https://www.americasfoodsinc.com/services.php,503-284-6818,rayfew@gmail.com,Tea; spices; sauces; dry and liquid products; noodles/meats (brand catalog),Co-packing; cold packing; hot packing; formulation; bottling; labeling,,,,co-packer,https://www.americasfoodsinc.com/services.php; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-22 00:00:00,VERIFIED,4,name_alias_americas_foods; seed_name_american_noodle,"americasfoodsinc.com Services page explicitly offers co-packing cold/hot packing for dry and liquid products including tea, spices, and sauces. Seed listed as American Noodle Inc.",American Noodle Inc.,american noodle inc.|portland|OR
10,Barhyte Specialty Foods (Suzie's Organics),Pendleton,OR,https://www.suziesorganics.com/program-opportunities,503-691-7858,sales@barhyte.com,Condiments; mustards; salad dressings; wing sauces; shelf-stable non-cooked products,Private label; name-drop program; co-packing of client condiment recipes,,,,private-label producer,https://www.suziesorganics.com/program-opportunities; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-22 00:00:00,VERIFIED,4,seed_url_was_fragment; private_label; also_copack_program,"Suzie's Organics Program Opportunities page (Barhyte Specialty Foods) confirms private label, name-drop, and co-packing programs. Seed URL was a text-fragment marketing link; normalized to program page. Directory MOQ 50 gallons not republished on page.","Barhyte Foods, Inc.","barhyte foods, inc.|pendleton|OR"
11,"Beaverton Foods, Inc.",Hillsboro,OR,https://beavertonfoods.com/,(503) 646-8138,customerservice@beavertonfoods.com,Mustards; horseradish; specialty condiments; sauces; salsas,Co-packing opportunities; private label (third-party profiles); specialty condiment manufacturing,,,,co-manufacturer,https://beavertonfoods.com/; https://beavertonfoods.com/contact/; https://www.oregon.gov/odaroadmap/operations/pages/pnw-co-packer-locator.aspx,2026-08-22 00:00:00,VERIFIED,4,phone_updated_from_site; high_volume_signal; private_label,Contact page welcomes co-packing inquiries; primary site is brand storefront for Beaver/Inglehoffer lines. Site phone (503) 646-8138 differs from seed. Seed MOQ/certs not confirmed on own pages; left blank.,"Beaverton Foods, Inc.","beaverton foods, inc.|hillsboro|OR"
12,Crave Copacking,Verona,PA,https://cravecp.com/,925-808-1548,trever@cravecp.com,Pickles; sauces; dressings; beverage mixes; salsas; jams; fillings; jarred foods,Co-packing; recipe development; ingredient sourcing; acidified; cold fill; hot fill; shelf stable; sales/fulfillment support,Jars; bottles,,,co-packer,https://cravecp.com/; https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/; https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,2026-08-22 00:00:00,VERIFIED,5,startup_friendly; low_moq_claimed; acidified,Own site describes full co-pack partnership for jarred/bottled foods from amateur recipes to established brands; emphasizes smaller batches. Exact numeric MOQ not published.,Crave Copacking,crave copacking|verona|PA
13,Gaffney Foods,Dallastown,PA,,(717) 378-2451,info@gaffneyfoods.com,Pickles; relishes; acidified foods; sauces; salsas; jams (directory),Acidified canning; hot packing; recipe development; private labeling (directory),Glass; plastic (directory),,,co-packer,https://www.facebook.com/gaffneyfoods; https://www.pickyourown.org/copackers-Pennsylvania.php,2026-08-22 00:00:00,NEEDS_REVIEW,2,bad_url; website_expired; facebook_only_seed_url; startup_friendly_directory,Seed website was Facebook. gaffneyfoods.com returns Squarespace Website Expired. Directory and LinkedIn still describe co-pack/private label; verify before publish. Do not publish Facebook as official plant site.,Gaffney Foods,gaffney foods|dallastown|PA
14,DakPak Solutions LLC,Woonsocket,SD,https://dakpaksolutions.com,(605) 574-1715,julieb@dakpaksolutions.com,Sports nutrition; protein/collagen supplements; dry blends; capsules,Blending; encapsulation; filling; packaging; labeling; product development; distribution,,Lower minimum quantities claimed (exact units not published),SQF; Halal; Kosher; GMP; FDA compliant (claimed on site),co-manufacturer,https://dakpaksolutions.com; https://www.specialtyfoodresource.com/find-a-business-resource/copackers/,2026-08-22 00:00:00,VERIFIED,4,supplements_focus; phone_updated_from_site; low_moq_claimed,"Own site confirms nutritional/sports product development, blending, encapsulation, packaging with SQF/Halal/Kosher claims. Phone on site (605) 574-1715 differs from seed. Seed carbonated canning claim not confirmed on homepage.",DakPak Solutions LLC,dakpak solutions llc|woonsocket|SD
15,T. Ho Foods Inc.,Loudon,TN,https://thofoods.com,(865) 765-0316,thoaiho@thofoods.com,Unknown (directory listed private labeling / packing services),Hot packing; cold packing; private labeling (directory),Glass; plastic; paper (directory),,,unknown,https://thofoods.com; https://www.pickyourown.org/copackers-Tennessee.php,2026-08-22 00:00:00,NEEDS_REVIEW,2,website_unavailable; directory_only_detail; startup_friendly_directory,thofoods.com currently shows Bizland 'site temporarily unavailable'. Capabilities only from PickYourOwn directory; recheck when site returns.,T. Ho Foods Inc.,t. ho foods inc.|loudon|TN
